date,nav,benchmark
2023-10-16,9996095.09,26.495
2023-10-17,9991058.23,26.415
2023-10-18,9992865.61,26.225
2023-10-19,9990712.33,26.07
2023-10-20,9989855.09,25.815
2023-10-23,9989680.15,25.8
2023-10-24,9987340.55,25.935
2023-10-25,9989748.39,25.785
2023-10-26,9987462.49,25.705
2023-10-27,9984176.91,25.68
2023-10-30,9992852.85,25.595
2023-10-31,10001275.22,25.685
2023-11-01,10004695.77,25.92
2023-11-02,10003572.56,26.18
2023-11-03,9998078.23,26.38
2023-11-06,10001868.45,26.35
2023-11-07,9999803.71,26.445
2023-11-08,9998991.43,26.445
2023-11-09,10012191.81,26.455
2023-11-10,10005899.51,26.385
2023-11-13,10000555.67,26.525
2023-11-14,9998385.68,26.605
2023-11-15,10013210.12,26.74
2023-11-16,9994878.25,26.67
2023-11-17,10004550.03,26.73
2023-11-20,10016259.07,26.74
2023-11-21,9998020.61,26.745
2023-11-22,10015896.96,26.905
2023-11-23,10006709.89,26.83
2023-11-24,10011679.55,26.79
2023-11-27,9999384.5,26.8
2023-11-28,9999478.36,26.765
2023-11-29,10009949.74,26.885
2023-11-30,10011986.73,26.98
2023-12-01,10044333.65,27.18
2023-12-04,10081251.22,27.18
2023-12-05,10121095.53,27.18
2023-12-06,10129433.11,27.18
2023-12-07,10120507.77,27.38
2023-12-08,10145457.39,27.43
2023-12-11,10119642.46,27.495
2023-12-12,10119090.97,27.46
2023-12-13,10128122.49,27.565
2023-12-14,10135120.83,27.7
2023-12-15,10140189.65,27.815
2023-12-18,10149702.61,27.85
2023-12-19,10153341.1,27.98
2023-12-20,10172836.76,27.95
2023-12-21,10169299.36,27.87
2023-12-22,10176244.92,27.995
2023-12-25,10171622.43,27.995
2023-12-26,10156844.63,27.995
2023-12-27,10169207.03,27.835
2023-12-28,10159898.09,28.005
2023-12-29,10153978.54,27.965
2024-01-01,10180269.17,27.965
2024-01-02,10206513.3,28.02
2024-01-03,10159443.97,27.835
2024-01-04,10172918.74,27.8
2024-01-05,10176956.62,27.72
2024-01-08,10200495.55,27.815
2024-01-09,10199483.69,27.865
2024-01-10,10198256.22,27.86
2024-01-11,10187468.28,27.795
2024-01-12,10174741.46,28.065
2024-01-15,10168093.33,27.97
2024-01-16,10176802.51,27.98
2024-01-17,10158623.3,27.74
